#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.6549
      0.6000       0.7596
      0.8000       0.7216
      1.0000       0.7215
      1.2000       0.7560
      1.4000       0.7621
      1.6000       0.7804
      1.8000       0.8235
      2.0000       0.7709
      2.2000       0.7653
      2.4000       0.7936
      2.6000       0.8279
      2.8000       0.7749
      3.0000       0.8373
      3.2000       0.8286
      3.4000       0.8389
      3.6000       0.9813
      3.8000       0.8910
      4.0000       0.8758
      4.2000       0.8777
      4.4000       0.8582
      4.6000       0.9035
      4.8000       0.9135
      5.0000       0.8869
      5.2000       0.9303
      5.4000       0.9171
      5.6000       1.0868
      5.8000       0.9721
      6.0000       0.9118
      6.2000       0.9397
      6.4000       1.0490
      6.6000       0.9211
      6.8000       0.9501
      7.0000       0.9308
      7.2000       0.9998
      7.4000       0.9723
      7.6000       0.9951
      7.8000       1.0501
      8.0000       1.0808
      8.2000       0.8513
      8.4000       0.9552
      8.6000       0.9480
      8.8000       1.0650
      9.0000       1.0258
      9.2000       1.0115
      9.4000       1.0116
      9.6000       0.9479
      9.8000       0.9948
     10.0000       0.9519
     10.2000       0.9162
     10.4000       0.9529
     10.6000       1.0479
     10.8000       0.9921
     11.0000       0.9006
     11.2000       0.9430
     11.4000       0.9319
     11.6000       1.0261
     11.8000       1.0468
     12.0000       1.0324
     12.2000       0.9490
     12.4000       0.9983
     12.6000       0.9918
     12.8000       0.9782
     13.0000       1.0082
     13.2000       0.9613
     13.4000       1.0206
     13.6000       1.1111
     13.8000       1.0788
     14.0000       1.1550
     14.2000       1.2175
     14.4000       1.1072
     14.6000       1.0578
     14.8000       1.0806
     15.0000       0.9771
     15.2000       1.0802
     15.4000       1.1383
     15.6000       1.1673
     15.8000       1.1628
     16.0000       1.1675
     16.2000       1.0913
     16.4000       1.0346
     16.6000       1.0577
     16.8000       0.9916
     17.0000       1.0856
     17.2000       1.0830
     17.4000       1.0630
     17.6000       1.1973
     17.8000       1.0928
     18.0000       1.1077
     18.2000       1.1876
     18.4000       1.2923
     18.6000       1.3881
     18.8000       1.3434
     19.0000       1.4045
     19.2000       1.3345
     19.4000       1.3997
     19.6000       1.2348
     19.8000       1.2554
     20.0000       1.2937
     20.2000       1.3333
     20.4000       1.3457
     20.6000       1.1934
     20.8000       1.1149
     21.0000       1.1761
     21.2000       1.1718
     21.4000       1.0188
     21.6000       1.0750
     21.8000       1.1024
     22.0000       1.1087
     22.2000       1.0108
     22.4000       1.1700
     22.6000       1.2351
     22.8000       1.2632
     23.0000       1.2777
     23.2000       1.3375
     23.4000       1.3836
     23.6000       1.2786
     23.8000       1.2663
     24.0000       1.2315
     24.2000       1.1966
     24.4000       1.1617
     24.6000       1.1642
     24.8000       1.1221
     25.0000       1.1756
     25.2000       1.1740
     25.4000       1.1586
     25.6000       1.0857
     25.8000       1.1215
     26.0000       1.1159
     26.2000       1.0787
     26.4000       1.1210
     26.6000       1.1590
     26.8000       1.3121
     27.0000       1.2288
     27.2000       1.1849
     27.4000       1.2645
     27.6000       1.2786
     27.8000       1.2249
     28.0000       1.2712
     28.2000       1.2490
     28.4000       1.3135
     28.6000       1.2853
     28.8000       1.3467
     29.0000       1.2603
     29.2000       1.2583
     29.4000       1.2400
     29.6000       1.3099
     29.8000       1.4274
     30.0000       1.3587
     30.2000       1.4059
     30.4000       1.3436
     30.6000       1.2944
     30.8000       1.2904
     31.0000       1.3826
     31.2000       1.4214
     31.4000       1.3072
     31.6000       1.2552
     31.8000       1.3038
     32.0000       1.4133
     32.2000       1.4315
     32.4000       1.4290
     32.6000       1.4311
     32.8000       1.5241
     33.0000       1.4289
     33.2000       1.4882
     33.4000       1.3723
     33.6000       1.4502
     33.8000       1.5317
     34.0000       1.4458
     34.2000       1.3093
     34.4000       1.4014
     34.6000       1.3789
     34.8000       1.4519
     35.0000       1.4854
     35.2000       1.4337
     35.4000       1.3110
     35.6000       1.2721
     35.8000       1.2788
     36.0000       1.2984
     36.2000       1.3769
     36.4000       1.2997
     36.6000       1.2944
     36.8000       1.4217
     37.0000       1.4527
     37.2000       1.2825
     37.4000       1.3040
     37.6000       1.2367
     37.8000       1.2051
     38.0000       1.2480
     38.2000       1.2691
     38.4000       1.3034
     38.6000       1.3232
     38.8000       1.2728
     39.0000       1.2226
     39.2000       1.2177
     39.4000       1.3577
     39.6000       1.3561
     39.8000       1.4036
     40.0000       1.4090
     40.2000       1.3712
     40.4000       1.2671
     40.6000       1.2293
     40.8000       1.4255
     41.0000       1.4037
     41.2000       1.4017
     41.4000       1.4288
     41.6000       1.3817
     41.8000       1.4973
     42.0000       1.5325
     42.2000       1.4486
     42.4000       1.5282
     42.6000       1.6642
     42.8000       1.5608
     43.0000       1.5480
     43.2000       1.5432
     43.4000       1.3983
     43.6000       1.5050
     43.8000       1.4952
     44.0000       1.5158
     44.2000       1.6073
     44.4000       1.6144
     44.6000       1.4338
     44.8000       1.4919
     45.0000       1.5380
     45.2000       1.4503
     45.4000       1.4426
     45.6000       1.5735
     45.8000       1.4793
     46.0000       1.2886
     46.2000       1.3519
     46.4000       1.4003
     46.6000       1.4596
     46.8000       1.3968
     47.0000       1.4303
     47.2000       1.3946
     47.4000       1.4243
     47.6000       1.3882
     47.8000       1.4753
     48.0000       1.4113
     48.2000       1.2331
     48.4000       1.2654
     48.6000       1.2443
     48.8000       1.2996
