#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.6455
      0.6000       0.6982
      0.8000       0.7064
      1.0000       0.7718
      1.2000       0.7982
      1.4000       0.7764
      1.6000       0.8031
      1.8000       0.7854
      2.0000       0.8210
      2.2000       0.8524
      2.4000       0.8859
      2.6000       0.8826
      2.8000       0.8573
      3.0000       0.8180
      3.2000       0.8693
      3.4000       0.8266
      3.6000       0.8200
      3.8000       0.8720
      4.0000       0.9157
      4.2000       0.8928
      4.4000       1.0034
      4.6000       1.0443
      4.8000       1.0410
      5.0000       1.0388
      5.2000       1.0109
      5.4000       0.9647
      5.6000       0.9930
      5.8000       1.0030
      6.0000       0.9809
      6.2000       1.0547
      6.4000       1.1589
      6.6000       1.2027
      6.8000       1.1757
      7.0000       1.0598
      7.2000       1.0621
      7.4000       1.1145
      7.6000       1.1084
      7.8000       1.0775
      8.0000       1.3058
      8.2000       1.2286
      8.4000       1.2830
      8.6000       1.1875
      8.8000       1.1766
      9.0000       1.2311
      9.2000       1.2122
      9.4000       1.1356
      9.6000       1.1176
      9.8000       1.0228
     10.0000       1.0719
     10.2000       1.1728
     10.4000       1.2666
     10.6000       1.2111
     10.8000       1.3228
     11.0000       1.2125
     11.2000       1.2466
     11.4000       1.2284
     11.6000       1.1455
     11.8000       1.0984
     12.0000       1.0906
     12.2000       0.9999
     12.4000       1.1165
     12.6000       1.0575
     12.8000       1.1578
     13.0000       1.0955
     13.2000       0.9966
     13.4000       1.0064
     13.6000       1.0063
     13.8000       1.0245
     14.0000       1.0670
     14.2000       1.0807
     14.4000       1.0474
     14.6000       1.0574
     14.8000       1.0958
     15.0000       1.1468
     15.2000       1.1172
     15.4000       1.0811
     15.6000       0.9942
     15.8000       1.0516
     16.0000       1.1352
     16.2000       1.1078
     16.4000       1.0535
     16.6000       1.0774
     16.8000       1.0787
     17.0000       1.1276
     17.2000       1.0201
     17.4000       1.0607
     17.6000       1.1011
     17.8000       1.1440
     18.0000       1.1535
     18.2000       1.0741
     18.4000       1.1119
     18.6000       1.1359
     18.8000       1.0638
     19.0000       1.0775
     19.2000       1.1036
     19.4000       1.0832
     19.6000       1.1396
     19.8000       1.0881
     20.0000       1.0419
     20.2000       1.0432
     20.4000       0.9627
     20.6000       1.0581
     20.8000       1.0596
     21.0000       1.0370
     21.2000       1.0978
     21.4000       1.0661
     21.6000       1.0838
     21.8000       0.9456
     22.0000       1.0995
     22.2000       1.1711
     22.4000       1.0968
     22.6000       1.1658
     22.8000       1.1999
     23.0000       1.2859
     23.2000       1.2247
     23.4000       1.1312
     23.6000       1.2206
     23.8000       1.2751
     24.0000       1.1864
     24.2000       1.2373
     24.4000       1.2371
     24.6000       1.1919
     24.8000       1.2512
     25.0000       1.2699
     25.2000       1.2966
     25.4000       1.2106
     25.6000       1.1955
     25.8000       1.1453
     26.0000       1.2026
     26.2000       1.1692
     26.4000       1.1300
     26.6000       1.0566
     26.8000       1.1340
     27.0000       1.1362
     27.2000       1.1137
     27.4000       1.0944
     27.6000       1.1546
     27.8000       1.2349
     28.0000       1.1348
     28.2000       1.2481
     28.4000       1.2479
     28.6000       1.1831
     28.8000       1.1099
     29.0000       1.1761
     29.2000       1.1883
     29.4000       1.1507
     29.6000       1.1101
     29.8000       1.1367
     30.0000       1.0734
     30.2000       1.0807
     30.4000       1.1167
     30.6000       1.0902
     30.8000       1.1527
     31.0000       1.0923
     31.2000       1.0894
     31.4000       1.0446
     31.6000       0.9294
     31.8000       0.9930
     32.0000       1.0561
     32.2000       0.9799
     32.4000       1.0036
     32.6000       0.9486
     32.8000       1.0221
     33.0000       1.0386
     33.2000       1.0054
     33.4000       0.9631
     33.6000       0.8899
     33.8000       1.0037
     34.0000       1.0339
     34.2000       1.1198
     34.4000       1.2281
     34.6000       1.1394
     34.8000       1.1547
     35.0000       1.1623
     35.2000       1.1918
     35.4000       1.1060
     35.6000       1.0677
     35.8000       1.0591
     36.0000       1.0645
     36.2000       1.0234
     36.4000       1.0772
     36.6000       1.0787
     36.8000       1.2523
     37.0000       1.1926
     37.2000       1.1775
     37.4000       1.1455
     37.6000       1.1748
     37.8000       1.3293
     38.0000       1.2812
     38.2000       1.2042
     38.4000       1.2237
     38.6000       1.2819
     38.8000       1.1931
     39.0000       1.1480
     39.2000       1.1788
     39.4000       1.1620
     39.6000       1.0741
     39.8000       1.1400
     40.0000       1.2148
     40.2000       1.2220
     40.4000       1.1558
     40.6000       1.0990
     40.8000       1.1640
     41.0000       1.2120
     41.2000       1.2692
     41.4000       1.3417
     41.6000       1.3221
     41.8000       1.3258
     42.0000       1.3018
     42.2000       1.2395
     42.4000       1.2205
     42.6000       1.1068
     42.8000       1.1311
     43.0000       1.2461
     43.2000       1.2576
     43.4000       1.2562
     43.6000       1.2300
     43.8000       1.2233
     44.0000       1.3183
     44.2000       1.2464
     44.4000       1.3932
     44.6000       1.3315
     44.8000       1.4036
     45.0000       1.2776
     45.2000       1.3080
     45.4000       1.2087
     45.6000       1.2813
     45.8000       1.2682
     46.0000       1.3694
     46.2000       1.3479
     46.4000       1.3123
     46.6000       1.3518
     46.8000       1.3466
     47.0000       1.3554
     47.2000       1.3435
     47.4000       1.3542
     47.6000       1.3699
     47.8000       1.3609
     48.0000       1.3395
     48.2000       1.2794
     48.4000       1.3516
     48.6000       1.4283
     48.8000       1.3475
     49.0000       1.3560
     49.2000       1.3979
     49.4000       1.3830
     49.6000       1.3858
     49.8000       1.3532
     50.0000       1.3908
     50.2000       1.4001
     50.4000       1.3328
     50.6000       1.4675
     50.8000       1.4408
     51.0000       1.3722
     51.2000       1.3797
     51.4000       1.3717
     51.6000       1.3102
     51.8000       1.2532
     52.0000       1.2033
     52.2000       1.3274
     52.4000       1.2271
     52.6000       1.1626
     52.8000       1.1163
     53.0000       1.1897
     53.2000       1.2644
     53.4000       1.2222
     53.6000       1.2615
     53.8000       1.2056
     54.0000       1.2372
     54.2000       1.2750
     54.4000       1.2348
     54.6000       1.2527
     54.8000       1.2239
     55.0000       1.2559
     55.2000       1.2842
     55.4000       1.1534
     55.6000       1.2146
     55.8000       1.2376
     56.0000       1.2934
     56.2000       1.2711
     56.4000       1.1939
     56.6000       1.2100
     56.8000       1.3301
     57.0000       1.3278
     57.2000       1.2928
     57.4000       1.2807
     57.6000       1.2756
     57.8000       1.2644
     58.0000       1.2881
     58.2000       1.2714
     58.4000       1.2643
     58.6000       1.3021
     58.8000       1.2828
     59.0000       1.3813
     59.2000       1.2555
     59.4000       1.1132
     59.6000       1.2652
     59.8000       1.1935
     60.0000       1.3015
     60.2000       1.2311
     60.4000       1.1684
     60.6000       1.1502
     60.8000       1.2320
     61.0000       1.1924
     61.2000       1.2268
     61.4000       1.2043
     61.6000       1.2069
     61.8000       1.2377
     62.0000       1.2734
     62.2000       1.2214
     62.4000       1.2890
     62.6000       1.2129
     62.8000       1.3225
     63.0000       1.2374
     63.2000       1.1743
     63.4000       1.2744
     63.6000       1.3379
     63.8000       1.3414
     64.0000       1.3389
     64.2000       1.3765
     64.4000       1.3047
     64.6000       1.4533
     64.8000       1.5503
     65.0000       1.6456
     65.2000       1.5798
     65.4000       1.5817
     65.6000       1.4284
     65.8000       1.4331
     66.0000       1.4425
     66.2000       1.4718
     66.4000       1.5043
     66.6000       1.3753
     66.8000       1.3862
     67.0000       1.3846
     67.2000       1.4010
     67.4000       1.4094
     67.6000       1.4369
     67.8000       1.4564
     68.0000       1.4966
     68.2000       1.5185
     68.4000       1.4760
     68.6000       1.4825
     68.8000       1.4647
     69.0000       1.5741
     69.2000       1.4695
     69.4000       1.5302
     69.6000       1.4781
     69.8000       1.4411
     70.0000       1.4607
     70.2000       1.3937
     70.4000       1.4522
     70.6000       1.3864
     70.8000       1.5530
     71.0000       1.5052
     71.2000       1.5538
     71.4000       1.6070
     71.6000       1.5377
     71.8000       1.6376
     72.0000       1.6337
     72.2000       1.5212
     72.4000       1.5531
     72.6000       1.6711
     72.8000       1.6050
     73.0000       1.4723
     73.2000       1.4707
     73.4000       1.4943
     73.6000       1.5360
     73.8000       1.5168
     74.0000       1.3985
     74.2000       1.4749
     74.4000       1.4991
     74.6000       1.5507
     74.8000       1.5244
     75.0000       1.6229
     75.2000       1.4327
     75.4000       1.4814
     75.6000       1.5382
     75.8000       1.4055
     76.0000       1.4201
     76.2000       1.5500
     76.4000       1.5541
     76.6000       1.4661
     76.8000       1.5323
     77.0000       1.5493
     77.2000       1.6337
     77.4000       1.6146
     77.6000       1.6681
     77.8000       1.6104
     78.0000       1.5111
     78.2000       1.6129
     78.4000       1.5501
     78.6000       1.5009
     78.8000       1.6554
     79.0000       1.5918
     79.2000       1.5488
     79.4000       1.5023
     79.6000       1.5144
     79.8000       1.5141
     80.0000       1.5131
     80.2000       1.4398
     80.4000       1.4490
     80.6000       1.5837
     80.8000       1.5136
     81.0000       1.5250
     81.2000       1.4790
     81.4000       1.5347
     81.6000       1.4682
     81.8000       1.4486
     82.0000       1.5181
     82.2000       1.6040
     82.4000       1.5258
     82.6000       1.5175
     82.8000       1.4626
     83.0000       1.3698
     83.2000       1.5002
     83.4000       1.5005
     83.6000       1.5454
     83.8000       1.4842
     84.0000       1.5506
     84.2000       1.5470
     84.4000       1.6184
     84.6000       1.6258
     84.8000       1.4894
     85.0000       1.5071
     85.2000       1.5040
     85.4000       1.5675
     85.6000       1.5215
     85.8000       1.5460
     86.0000       1.4208
     86.2000       1.5408
     86.4000       1.4503
     86.6000       1.4904
     86.8000       1.4969
     87.0000       1.4574
     87.2000       1.4622
     87.4000       1.4255
     87.6000       1.4412
     87.8000       1.3935
     88.0000       1.4520
     88.2000       1.4646
     88.4000       1.4146
     88.6000       1.3659
     88.8000       1.3176
     89.0000       1.3883
     89.2000       1.4128
     89.4000       1.3730
     89.6000       1.3484
     89.8000       1.3927
     90.0000       1.2781
     90.2000       1.2811
     90.4000       1.4124
     90.6000       1.3012
     90.8000       1.3926
     91.0000       1.3930
     91.2000       1.3588
     91.4000       1.3881
     91.6000       1.3589
     91.8000       1.4158
     92.0000       1.3961
     92.2000       1.3585
     92.4000       1.4208
     92.6000       1.4655
     92.8000       1.4270
     93.0000       1.3924
     93.2000       1.4994
     93.4000       1.4573
     93.6000       1.4540
     93.8000       1.5020
     94.0000       1.4936
     94.2000       1.4914
     94.4000       1.3978
     94.6000       1.4248
     94.8000       1.4886
     95.0000       1.5004
     95.2000       1.3832
     95.4000       1.4038
     95.6000       1.4244
     95.8000       1.4423
     96.0000       1.3443
     96.2000       1.2764
     96.4000       1.2975
     96.6000       1.2938
     96.8000       1.2869
     97.0000       1.3001
     97.2000       1.3644
     97.4000       1.3360
     97.6000       1.3954
     97.8000       1.4051
     98.0000       1.5176
     98.2000       1.4393
     98.4000       1.4470
     98.6000       1.4568
     98.8000       1.4291
     99.0000       1.4344
     99.2000       1.4178
     99.4000       1.3592
     99.6000       1.4324
     99.8000       1.5742
    100.0000       1.4620
    100.2000       1.5408
    100.4000       1.5051
    100.6000       1.4599
    100.8000       1.4527
    101.0000       1.3781
    101.2000       1.2426
    101.4000       1.4053
    101.6000       1.4194
    101.8000       1.4534
    102.0000       1.4072
    102.2000       1.3496
    102.4000       1.3608
    102.6000       1.3212
    102.8000       1.3403
    103.0000       1.2955
    103.2000       1.3028
    103.4000       1.4325
    103.6000       1.4538
    103.8000       1.4520
    104.0000       1.4681
    104.2000       1.4995
    104.4000       1.4783
    104.6000       1.4254
    104.8000       1.4339
    105.0000       1.5024
    105.2000       1.4391
    105.4000       1.3950
    105.6000       1.5426
    105.8000       1.5001
    106.0000       1.5180
    106.2000       1.4934
    106.4000       1.3442
    106.6000       1.4614
    106.8000       1.5084
    107.0000       1.4266
    107.2000       1.4354
    107.4000       1.5357
    107.6000       1.5148
    107.8000       1.3820
    108.0000       1.3969
    108.2000       1.4872
    108.4000       1.5194
    108.6000       1.4671
    108.8000       1.5243
    109.0000       1.5345
    109.2000       1.5946
    109.4000       1.4293
    109.6000       1.5616
    109.8000       1.7000
    110.0000       1.6457
    110.2000       1.6202
    110.4000       1.5305
    110.6000       1.5415
    110.8000       1.5018
    111.0000       1.5082
    111.2000       1.4905
    111.4000       1.5247
    111.6000       1.4934
    111.8000       1.5764
    112.0000       1.6640
    112.2000       1.7240
    112.4000       1.5848
    112.6000       1.6539
    112.8000       1.5654
    113.0000       1.5727
    113.2000       1.7005
    113.4000       1.6700
    113.6000       1.6401
    113.8000       1.7166
    114.0000       1.7025
    114.2000       1.8463
    114.4000       1.7223
    114.6000       1.6587
    114.8000       1.8090
    115.0000       1.7277
    115.2000       1.7373
    115.4000       1.7654
    115.6000       1.7687
    115.8000       1.5679
    116.0000       1.6028
    116.2000       1.6228
    116.4000       1.7386
    116.6000       1.6529
    116.8000       1.6723
    117.0000       1.5344
    117.2000       1.6074
    117.4000       1.5627
    117.6000       1.5793
    117.8000       1.6724
    118.0000       1.6050
    118.2000       1.6215
    118.4000       1.5040
    118.6000       1.5984
    118.8000       1.6078
    119.0000       1.5675
    119.2000       1.5064
    119.4000       1.6317
    119.6000       1.6052
    119.8000       1.6853
    120.0000       1.5809
    120.2000       1.5600
    120.4000       1.4182
    120.6000       1.5021
    120.8000       1.4794
    121.0000       1.5586
    121.2000       1.4863
    121.4000       1.4413
    121.6000       1.4799
    121.8000       1.4583
    122.0000       1.4836
    122.2000       1.5195
    122.4000       1.5878
    122.6000       1.5526
    122.8000       1.5292
    123.0000       1.6172
    123.2000       1.5534
    123.4000       1.4946
    123.6000       1.5264
    123.8000       1.5367
    124.0000       1.5651
    124.2000       1.5715
    124.4000       1.5597
    124.6000       1.6157
    124.8000       1.5251
    125.0000       1.6174
    125.2000       1.5564
    125.4000       1.5610
    125.6000       1.4866
    125.8000       1.5420
    126.0000       1.5848
    126.2000       1.5179
    126.4000       1.6470
    126.6000       1.5905
    126.8000       1.5834
    127.0000       1.5326
    127.2000       1.5420
    127.4000       1.5170
    127.6000       1.4036
    127.8000       1.4365
    128.0000       1.4881
    128.2000       1.4782
    128.4000       1.6090
    128.6000       1.6092
    128.8000       1.5879
    129.0000       1.6617
    129.2000       1.6805
    129.4000       1.6381
    129.6000       1.5182
    129.8000       1.5822
    130.0000       1.6133
    130.2000       1.5348
    130.4000       1.4734
    130.6000       1.5046
    130.8000       1.5718
    131.0000       1.5330
    131.2000       1.5098
    131.4000       1.5288
    131.6000       1.4826
    131.8000       1.4378
    132.0000       1.5366
    132.2000       1.5220
    132.4000       1.4772
    132.6000       1.5026
    132.8000       1.4519
    133.0000       1.5261
    133.2000       1.4988
    133.4000       1.4724
    133.6000       1.4059
    133.8000       1.3799
    134.0000       1.3807
    134.2000       1.5247
    134.4000       1.6567
    134.6000       1.6213
    134.8000       1.5740
    135.0000       1.5802
    135.2000       1.5457
    135.4000       1.4846
    135.6000       1.5807
    135.8000       1.5516
    136.0000       1.5318
    136.2000       1.5058
    136.4000       1.5211
    136.6000       1.5444
    136.8000       1.4848
    137.0000       1.6551
    137.2000       1.6039
    137.4000       1.5534
    137.6000       1.6968
    137.8000       1.6651
    138.0000       1.6737
    138.2000       1.7394
    138.4000       1.7029
    138.6000       1.6450
    138.8000       1.5087
    139.0000       1.5732
    139.2000       1.6079
    139.4000       1.6877
    139.6000       1.5298
    139.8000       1.6851
    140.0000       1.6064
    140.2000       1.7352
    140.4000       1.8066
    140.6000       1.6851
    140.8000       1.6516
    141.0000       1.5865
    141.2000       1.6159
    141.4000       1.6558
    141.6000       1.5682
    141.8000       1.5354
    142.0000       1.6221
    142.2000       1.5567
    142.4000       1.6775
    142.6000       1.6999
    142.8000       1.7179
    143.0000       1.7135
    143.2000       1.6090
    143.4000       1.6238
    143.6000       1.6696
    143.8000       1.6222
    144.0000       1.5826
    144.2000       1.6021
    144.4000       1.7117
    144.6000       1.7529
    144.8000       1.8231
    145.0000       1.7199
    145.2000       1.7729
    145.4000       1.7989
    145.6000       1.8178
    145.8000       1.7790
    146.0000       1.7039
    146.2000       1.7535
    146.4000       1.7024
    146.6000       1.6747
    146.8000       1.7180
    147.0000       1.7472
    147.2000       1.7524
    147.4000       1.7366
    147.6000       1.6854
    147.8000       1.7022
    148.0000       1.7414
    148.2000       1.7466
    148.4000       1.7502
    148.6000       1.7336
    148.8000       1.7081
    149.0000       1.7759
    149.2000       1.7229
    149.4000       1.7344
    149.6000       1.7572
    149.8000       1.7694
    150.0000       1.7476
    150.2000       1.7167
    150.4000       1.6542
    150.6000       1.7115
    150.8000       1.7257
    151.0000       1.6778
    151.2000       1.6838
    151.4000       1.6993
    151.6000       1.6969
    151.8000       1.7499
    152.0000       1.7798
    152.2000       1.8191
    152.4000       1.8528
    152.6000       1.8453
    152.8000       1.8004
    153.0000       1.8061
    153.2000       1.7855
    153.4000       1.6535
    153.6000       1.6973
    153.8000       1.7972
    154.0000       1.7940
    154.2000       1.8166
    154.4000       1.8114
    154.6000       1.7359
    154.8000       1.7648
    155.0000       1.7625
    155.2000       1.8099
    155.4000       1.8147
    155.6000       1.7903
    155.8000       1.7800
    156.0000       1.7736
    156.2000       1.7255
    156.4000       1.7122
    156.6000       1.8636
    156.8000       1.7432
    157.0000       1.8204
    157.2000       1.8679
    157.4000       1.8817
    157.6000       1.8413
    157.8000       1.8348
    158.0000       1.8681
    158.2000       1.8092
    158.4000       1.7755
    158.6000       1.7923
    158.8000       1.7857
    159.0000       1.7260
    159.2000       1.7406
