#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.5985
      0.6000       0.7426
      0.8000       0.7697
      1.0000       0.8612
      1.2000       0.7924
      1.4000       0.8255
      1.6000       0.8830
      1.8000       0.8557
      2.0000       0.9785
      2.2000       0.9168
      2.4000       0.9319
      2.6000       0.9222
      2.8000       0.9583
      3.0000       0.9974
      3.2000       1.0710
      3.4000       0.9724
      3.6000       1.0294
      3.8000       1.1347
      4.0000       1.1188
      4.2000       1.0197
      4.4000       1.0489
      4.6000       1.1283
      4.8000       1.0367
      5.0000       1.0226
      5.2000       1.0110
      5.4000       0.9894
      5.6000       1.0119
      5.8000       1.1166
      6.0000       1.0319
      6.2000       1.0448
      6.4000       1.0447
      6.6000       1.0175
      6.8000       1.0376
      7.0000       1.0291
      7.2000       1.0591
      7.4000       1.0497
      7.6000       1.0847
      7.8000       1.1109
      8.0000       1.0147
      8.2000       1.0371
      8.4000       1.1167
      8.6000       1.0506
      8.8000       1.1283
      9.0000       1.3262
      9.2000       1.3369
      9.4000       1.2393
      9.6000       1.2672
      9.8000       1.2757
     10.0000       1.1531
     10.2000       1.2124
     10.4000       1.2265
     10.6000       1.2947
     10.8000       1.3420
     11.0000       1.2041
     11.2000       1.2627
     11.4000       1.3348
     11.6000       1.3070
     11.8000       1.2838
     12.0000       1.2836
     12.2000       1.2845
     12.4000       1.2445
     12.6000       1.3373
     12.8000       1.2664
     13.0000       1.2470
     13.2000       1.2271
     13.4000       1.1627
     13.6000       1.0971
     13.8000       1.2006
     14.0000       1.1436
     14.2000       1.2274
     14.4000       1.1599
     14.6000       1.1556
     14.8000       1.0818
     15.0000       1.1928
     15.2000       1.1036
     15.4000       1.0913
     15.6000       1.1010
     15.8000       1.1972
     16.0000       1.1849
     16.2000       1.2084
     16.4000       1.2961
     16.6000       1.3961
     16.8000       1.2869
     17.0000       1.2471
     17.2000       1.2088
     17.4000       1.2710
     17.6000       1.3599
     17.8000       1.4538
     18.0000       1.3531
     18.2000       1.3648
     18.4000       1.3717
     18.6000       1.3929
     18.8000       1.2502
     19.0000       1.2919
     19.2000       1.3153
     19.4000       1.3953
     19.6000       1.3899
     19.8000       1.4264
     20.0000       1.2859
     20.2000       1.3441
     20.4000       1.4136
     20.6000       1.5850
     20.8000       1.5099
     21.0000       1.4196
     21.2000       1.3743
     21.4000       1.3429
     21.6000       1.2278
     21.8000       1.2919
     22.0000       1.2769
     22.2000       1.2503
     22.4000       1.2894
     22.6000       1.3871
     22.8000       1.4353
     23.0000       1.4908
     23.2000       1.5716
     23.4000       1.5300
     23.6000       1.3674
     23.8000       1.3311
     24.0000       1.4094
     24.2000       1.4285
     24.4000       1.4162
     24.6000       1.3230
     24.8000       1.2796
     25.0000       1.2206
     25.2000       1.3245
     25.4000       1.3647
     25.6000       1.3351
     25.8000       1.4391
     26.0000       1.4801
     26.2000       1.3671
     26.4000       1.3811
     26.6000       1.3028
     26.8000       1.3540
     27.0000       1.3333
     27.2000       1.4310
     27.4000       1.4040
     27.6000       1.3141
     27.8000       1.3772
     28.0000       1.2212
     28.2000       1.3316
     28.4000       1.3268
     28.6000       1.3458
     28.8000       1.2823
     29.0000       1.4960
     29.2000       1.3042
     29.4000       1.3214
     29.6000       1.2909
     29.8000       1.3399
     30.0000       1.2820
     30.2000       1.3422
     30.4000       1.4074
     30.6000       1.3877
     30.8000       1.2939
     31.0000       1.3701
     31.2000       1.3680
     31.4000       1.3423
     31.6000       1.3488
     31.8000       1.3559
     32.0000       1.2994
     32.2000       1.4277
     32.4000       1.2490
     32.6000       1.4138
     32.8000       1.4499
     33.0000       1.4844
     33.2000       1.3575
     33.4000       1.4261
     33.6000       1.3676
     33.8000       1.4108
     34.0000       1.3646
     34.2000       1.3396
     34.4000       1.3313
     34.6000       1.5140
     34.8000       1.5728
     35.0000       1.5127
     35.2000       1.4627
     35.4000       1.4424
     35.6000       1.3999
     35.8000       1.4822
     36.0000       1.5120
     36.2000       1.4899
     36.4000       1.4498
     36.6000       1.6738
     36.8000       1.5255
     37.0000       1.4909
     37.2000       1.5202
     37.4000       1.3928
     37.6000       1.3658
     37.8000       1.4243
     38.0000       1.3926
     38.2000       1.4021
     38.4000       1.3951
     38.6000       1.3752
     38.8000       1.4254
     39.0000       1.3473
     39.2000       1.3913
     39.4000       1.4341
     39.6000       1.4590
     39.8000       1.3960
     40.0000       1.4895
     40.2000       1.4373
     40.4000       1.3714
     40.6000       1.4150
     40.8000       1.4177
     41.0000       1.4845
     41.2000       1.4418
     41.4000       1.4767
     41.6000       1.4975
     41.8000       1.4944
     42.0000       1.4415
     42.2000       1.4764
     42.4000       1.5011
     42.6000       1.5347
     42.8000       1.4009
     43.0000       1.3581
     43.2000       1.4246
     43.4000       1.3250
     43.6000       1.3463
     43.8000       1.3653
     44.0000       1.4022
     44.2000       1.4667
     44.4000       1.4385
     44.6000       1.4182
     44.8000       1.5606
     45.0000       1.5678
     45.2000       1.4826
     45.4000       1.5127
     45.6000       1.5601
     45.8000       1.5920
     46.0000       1.5541
     46.2000       1.6800
     46.4000       1.5572
     46.6000       1.5198
     46.8000       1.4624
     47.0000       1.3079
     47.2000       1.4079
     47.4000       1.3670
     47.6000       1.4376
     47.8000       1.3611
     48.0000       1.4474
     48.2000       1.3694
     48.4000       1.4774
     48.6000       1.4131
     48.8000       1.3329
     49.0000       1.3628
     49.2000       1.3636
     49.4000       1.5227
     49.6000       1.2873
     49.8000       1.3013
     50.0000       1.2512
     50.2000       1.3413
     50.4000       1.3975
     50.6000       1.4870
     50.8000       1.4488
     51.0000       1.4302
     51.2000       1.3236
     51.4000       1.3661
     51.6000       1.2816
     51.8000       1.4232
     52.0000       1.3924
     52.2000       1.4133
     52.4000       1.4648
     52.6000       1.5841
     52.8000       1.4685
     53.0000       1.3709
     53.2000       1.4295
     53.4000       1.3794
     53.6000       1.3548
     53.8000       1.3822
     54.0000       1.5266
     54.2000       1.4976
     54.4000       1.6105
     54.6000       1.5075
     54.8000       1.3569
     55.0000       1.4156
     55.2000       1.4798
     55.4000       1.4004
     55.6000       1.4853
     55.8000       1.4821
     56.0000       1.4688
     56.2000       1.5624
     56.4000       1.4395
     56.6000       1.5727
     56.8000       1.4876
     57.0000       1.5392
     57.2000       1.7072
