#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.7467
      0.6000       0.9251
      0.8000       1.0055
      1.0000       1.0407
      1.2000       1.0113
      1.4000       1.0209
      1.6000       1.1570
      1.8000       0.9879
      2.0000       0.9471
      2.2000       1.0409
      2.4000       1.0224
      2.6000       1.1201
      2.8000       1.2056
      3.0000       1.2482
      3.2000       1.2599
      3.4000       1.1100
      3.6000       1.2776
      3.8000       1.1910
      4.0000       1.1364
      4.2000       1.2483
      4.4000       1.2258
      4.6000       1.2871
      4.8000       1.1641
      5.0000       1.2648
      5.2000       1.2084
      5.4000       1.2507
      5.6000       1.2161
      5.8000       1.3479
      6.0000       1.4045
      6.2000       1.4429
      6.4000       1.4128
      6.6000       1.3412
      6.8000       1.2156
      7.0000       1.2316
      7.2000       1.3357
      7.4000       1.2412
      7.6000       1.2509
      7.8000       1.3675
      8.0000       1.4417
      8.2000       1.3643
      8.4000       1.3861
      8.6000       1.4009
      8.8000       1.4847
      9.0000       1.4125
      9.2000       1.3849
      9.4000       1.4868
      9.6000       1.3969
      9.8000       1.4161
     10.0000       1.4126
     10.2000       1.5067
     10.4000       1.6584
     10.6000       1.4648
     10.8000       1.4501
     11.0000       1.4019
     11.2000       1.4638
     11.4000       1.5165
     11.6000       1.4606
     11.8000       1.4289
     12.0000       1.4201
     12.2000       1.5461
     12.4000       1.5747
     12.6000       1.4740
     12.8000       1.6211
     13.0000       1.5893
     13.2000       1.6610
     13.4000       1.6312
     13.6000       1.5244
     13.8000       1.4202
     14.0000       1.5175
     14.2000       1.4576
     14.4000       1.4693
     14.6000       1.6177
     14.8000       1.5034
     15.0000       1.4862
     15.2000       1.5652
     15.4000       1.4756
     15.6000       1.4060
     15.8000       1.4930
     16.0000       1.4345
     16.2000       1.5521
     16.4000       1.4937
     16.6000       1.5761
     16.8000       1.5238
     17.0000       1.5271
     17.2000       1.4972
     17.4000       1.4578
     17.6000       1.4670
     17.8000       1.4860
     18.0000       1.5213
     18.2000       1.4755
     18.4000       1.4255
     18.6000       1.4084
     18.8000       1.3687
     19.0000       1.4583
     19.2000       1.3244
     19.4000       1.4160
     19.6000       1.5250
     19.8000       1.5083
     20.0000       1.4641
     20.2000       1.3216
     20.4000       1.4331
     20.6000       1.3886
     20.8000       1.4143
     21.0000       1.6135
     21.2000       1.7182
     21.4000       1.5752
     21.6000       1.5854
     21.8000       1.5143
     22.0000       1.5472
     22.2000       1.6047
     22.4000       1.5234
     22.6000       1.5414
     22.8000       1.5799
     23.0000       1.5564
     23.2000       1.5596
     23.4000       1.4923
     23.6000       1.6169
     23.8000       1.5860
     24.0000       1.5922
     24.2000       1.5858
     24.4000       1.3757
     24.6000       1.4290
     24.8000       1.4666
     25.0000       1.4651
     25.2000       1.4276
     25.4000       1.5390
     25.6000       1.5547
     25.8000       1.4907
     26.0000       1.5425
     26.2000       1.3548
     26.4000       1.3795
     26.6000       1.3783
     26.8000       1.5099
     27.0000       1.4219
     27.2000       1.5427
     27.4000       1.4438
     27.6000       1.5394
     27.8000       1.4671
     28.0000       1.6156
     28.2000       1.5700
     28.4000       1.5151
     28.6000       1.4443
     28.8000       1.5025
     29.0000       1.5175
     29.2000       1.4361
     29.4000       1.5949
