#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.6407
      0.6000       0.6625
      0.8000       0.7439
      1.0000       0.7737
      1.2000       0.8735
      1.4000       0.8235
      1.6000       0.7672
      1.8000       0.7304
      2.0000       0.7528
      2.2000       0.7889
      2.4000       0.7148
      2.6000       0.8253
      2.8000       0.7731
      3.0000       0.7555
      3.2000       0.8114
      3.4000       0.8203
      3.6000       0.7823
      3.8000       0.7897
      4.0000       0.7580
      4.2000       0.7729
      4.4000       0.7613
      4.6000       0.7988
      4.8000       0.7884
      5.0000       0.8568
      5.2000       0.7985
      5.4000       0.8040
      5.6000       0.7669
      5.8000       0.8116
      6.0000       0.8375
      6.2000       0.8513
      6.4000       0.8563
      6.6000       0.9578
      6.8000       0.9380
      7.0000       0.8136
      7.2000       0.8343
      7.4000       0.8388
      7.6000       0.8778
      7.8000       0.9613
      8.0000       0.8327
      8.2000       0.8711
      8.4000       0.9098
      8.6000       0.8767
      8.8000       0.8841
      9.0000       0.9551
      9.2000       0.8771
      9.4000       0.8491
      9.6000       0.9162
      9.8000       0.8432
     10.0000       0.8987
     10.2000       0.8958
     10.4000       0.9312
     10.6000       0.8324
     10.8000       0.8844
     11.0000       0.8935
     11.2000       0.9691
     11.4000       0.9256
     11.6000       0.8769
     11.8000       0.9789
     12.0000       0.9517
     12.2000       1.0094
     12.4000       0.9739
     12.6000       0.9139
     12.8000       0.9186
     13.0000       0.9696
     13.2000       0.9322
     13.4000       0.8816
     13.6000       0.9825
     13.8000       0.9067
     14.0000       0.9336
     14.2000       0.9114
     14.4000       0.9401
     14.6000       0.9706
     14.8000       0.9496
     15.0000       0.9190
     15.2000       0.9506
     15.4000       0.9935
     15.6000       0.9964
     15.8000       1.0783
     16.0000       1.0628
     16.2000       1.1257
     16.4000       1.0496
     16.6000       1.0605
     16.8000       1.0490
     17.0000       1.1130
     17.2000       0.9935
     17.4000       1.0354
     17.6000       1.0802
     17.8000       1.0324
     18.0000       1.0911
     18.2000       1.1190
     18.4000       1.0879
     18.6000       1.2321
     18.8000       1.1591
     19.0000       1.3308
     19.2000       1.0729
     19.4000       1.0180
     19.6000       1.0311
     19.8000       0.9721
     20.0000       0.9863
     20.2000       0.9644
     20.4000       0.9900
     20.6000       0.9021
     20.8000       0.9256
     21.0000       1.0658
     21.2000       1.0242
     21.4000       0.9835
     21.6000       1.0500
     21.8000       1.0760
     22.0000       1.1111
     22.2000       1.1476
     22.4000       1.2266
     22.6000       1.2113
     22.8000       1.2339
     23.0000       1.1754
     23.2000       1.0650
     23.4000       1.0879
     23.6000       1.0715
     23.8000       1.1108
     24.0000       1.0799
     24.2000       1.0596
     24.4000       1.0055
     24.6000       1.0045
     24.8000       1.0601
     25.0000       1.1196
     25.2000       1.0556
     25.4000       1.1098
     25.6000       1.0724
     25.8000       1.0586
     26.0000       1.0828
     26.2000       1.1069
     26.4000       1.1699
     26.6000       1.0543
     26.8000       1.0136
     27.0000       1.0876
     27.2000       1.2115
     27.4000       1.0731
     27.6000       1.0838
     27.8000       1.0902
     28.0000       1.1639
     28.2000       1.2746
     28.4000       1.1451
     28.6000       1.0502
     28.8000       1.0594
     29.0000       1.0814
     29.2000       1.1014
     29.4000       1.0614
     29.6000       1.0862
     29.8000       1.0404
     30.0000       0.9961
     30.2000       0.9773
     30.4000       1.0314
     30.6000       1.0257
     30.8000       1.0412
     31.0000       0.9689
     31.2000       1.0240
     31.4000       0.9493
     31.6000       0.9443
     31.8000       1.0455
     32.0000       1.0566
     32.2000       1.1186
     32.4000       1.0550
     32.6000       1.0545
     32.8000       1.0789
     33.0000       1.1172
     33.2000       1.1556
     33.4000       1.1858
     33.6000       1.0753
     33.8000       1.1227
     34.0000       1.1252
     34.2000       1.1724
     34.4000       1.1218
     34.6000       1.0307
     34.8000       1.1030
     35.0000       1.0703
     35.2000       1.0583
     35.4000       1.1353
     35.6000       1.2029
     35.8000       1.2083
     36.0000       1.0655
     36.2000       1.0924
     36.4000       1.2262
     36.6000       1.1499
     36.8000       1.1079
     37.0000       1.0822
     37.2000       1.1489
     37.4000       1.1280
     37.6000       1.0203
     37.8000       1.0751
     38.0000       1.1127
     38.2000       1.1451
     38.4000       1.1457
     38.6000       1.1675
     38.8000       1.1386
     39.0000       1.3324
     39.2000       1.2532
     39.4000       1.3111
     39.6000       1.2931
     39.8000       1.2344
     40.0000       1.2410
     40.2000       1.3167
     40.4000       1.3060
     40.6000       1.3263
     40.8000       1.1469
     41.0000       1.2832
     41.2000       1.2137
     41.4000       1.1452
     41.6000       1.2501
     41.8000       1.1853
     42.0000       1.2552
     42.2000       1.0957
     42.4000       1.0778
     42.6000       1.0904
     42.8000       1.0934
     43.0000       1.0750
     43.2000       1.1990
     43.4000       1.2155
     43.6000       1.3885
     43.8000       1.2895
     44.0000       1.2019
     44.2000       1.2742
     44.4000       1.2983
     44.6000       1.1694
     44.8000       1.2743
     45.0000       1.2696
     45.2000       1.3477
     45.4000       1.3773
     45.6000       1.2451
     45.8000       1.3448
     46.0000       1.3285
     46.2000       1.2870
     46.4000       1.3283
     46.6000       1.2972
     46.8000       1.2574
     47.0000       1.2301
     47.2000       1.1732
     47.4000       1.3286
     47.6000       1.2827
     47.8000       1.1541
     48.0000       1.2755
     48.2000       1.2504
     48.4000       1.4796
     48.6000       1.3270
     48.8000       1.4571
     49.0000       1.4153
     49.2000       1.3061
     49.4000       1.2609
     49.6000       1.3661
     49.8000       1.3976
     50.0000       1.2762
     50.2000       1.3242
     50.4000       1.2990
     50.6000       1.2696
     50.8000       1.2966
     51.0000       1.3787
     51.2000       1.2958
     51.4000       1.4280
     51.6000       1.4249
     51.8000       1.3844
     52.0000       1.2992
     52.2000       1.2476
     52.4000       1.3543
     52.6000       1.2851
     52.8000       1.4048
     53.0000       1.3708
     53.2000       1.4604
     53.4000       1.3962
     53.6000       1.3904
     53.8000       1.3781
     54.0000       1.3629
     54.2000       1.2879
     54.4000       1.4134
     54.6000       1.5481
     54.8000       1.5057
     55.0000       1.5034
     55.2000       1.4157
     55.4000       1.5240
     55.6000       1.3500
     55.8000       1.3830
     56.0000       1.3451
     56.2000       1.4288
     56.4000       1.4550
     56.6000       1.4658
     56.8000       1.4123
     57.0000       1.3484
     57.2000       1.2664
     57.4000       1.2220
     57.6000       1.1831
     57.8000       1.2071
     58.0000       1.3959
     58.2000       1.5548
     58.4000       1.6614
     58.6000       1.7006
     58.8000       1.4657
     59.0000       1.4660
     59.2000       1.4494
     59.4000       1.3823
     59.6000       1.4021
     59.8000       1.4146
     60.0000       1.2421
     60.2000       1.3239
     60.4000       1.2841
     60.6000       1.1695
     60.8000       1.2980
     61.0000       1.1784
     61.2000       1.2424
     61.4000       1.3052
     61.6000       1.1697
     61.8000       1.2573
     62.0000       1.2023
     62.2000       1.2073
     62.4000       1.2702
     62.6000       1.2381
     62.8000       1.1731
     63.0000       1.1630
     63.2000       1.2676
     63.4000       1.2553
     63.6000       1.3658
     63.8000       1.2690
     64.0000       1.2427
     64.2000       1.2014
     64.4000       1.2260
     64.6000       1.2257
     64.8000       1.3307
     65.0000       1.3373
     65.2000       1.4474
     65.4000       1.4082
     65.6000       1.3412
     65.8000       1.2923
     66.0000       1.3809
     66.2000       1.2482
     66.4000       1.3384
     66.6000       1.4518
     66.8000       1.3837
     67.0000       1.4455
     67.2000       1.4505
     67.4000       1.4628
     67.6000       1.3708
     67.8000       1.3994
     68.0000       1.3649
     68.2000       1.3913
     68.4000       1.3377
     68.6000       1.3278
     68.8000       1.3742
     69.0000       1.3999
     69.2000       1.3660
     69.4000       1.4799
     69.6000       1.4788
     69.8000       1.4005
     70.0000       1.4188
     70.2000       1.3097
     70.4000       1.4248
     70.6000       1.4323
     70.8000       1.5019
     71.0000       1.3689
     71.2000       1.4129
     71.4000       1.3886
     71.6000       1.3555
     71.8000       1.3293
     72.0000       1.2761
     72.2000       1.3652
     72.4000       1.2848
     72.6000       1.4191
     72.8000       1.3180
     73.0000       1.3264
     73.2000       1.3436
     73.4000       1.4704
     73.6000       1.3892
     73.8000       1.3878
     74.0000       1.4260
     74.2000       1.4563
     74.4000       1.5519
     74.6000       1.5024
     74.8000       1.5413
     75.0000       1.5317
     75.2000       1.5230
     75.4000       1.4770
     75.6000       1.5472
     75.8000       1.6564
     76.0000       1.5997
     76.2000       1.6794
     76.4000       1.4741
     76.6000       1.4143
     76.8000       1.6328
     77.0000       1.6643
     77.2000       1.7143
     77.4000       1.7938
     77.6000       1.6875
     77.8000       1.6868
     78.0000       1.5748
     78.2000       1.5919
     78.4000       1.6618
     78.6000       1.7429
     78.8000       1.6164
     79.0000       1.6638
     79.2000       1.5649
     79.4000       1.5680
     79.6000       1.6769
     79.8000       1.6487
     80.0000       1.7073
     80.2000       1.7164
     80.4000       1.6551
     80.6000       1.6087
     80.8000       1.6171
     81.0000       1.7517
     81.2000       1.6599
     81.4000       1.6513
     81.6000       1.6847
     81.8000       1.7259
     82.0000       1.5045
     82.2000       1.3866
     82.4000       1.4250
     82.6000       1.6224
     82.8000       1.8001
     83.0000       1.8640
     83.2000       1.7757
     83.4000       1.7302
     83.6000       1.7405
     83.8000       1.6411
     84.0000       1.6662
     84.2000       1.6414
     84.4000       1.5976
     84.6000       1.5968
     84.8000       1.6000
     85.0000       1.6448
     85.2000       1.6483
     85.4000       1.5876
     85.6000       1.6650
     85.8000       1.6939
     86.0000       1.5984
     86.2000       1.7179
     86.4000       1.6860
     86.6000       1.5359
     86.8000       1.4539
     87.0000       1.6325
     87.2000       1.4914
     87.4000       1.4577
     87.6000       1.4650
     87.8000       1.4992
     88.0000       1.5488
     88.2000       1.5881
     88.4000       1.6865
     88.6000       1.6725
     88.8000       1.8089
     89.0000       1.7314
     89.2000       1.7215
     89.4000       1.7209
     89.6000       1.7838
     89.8000       1.8888
     90.0000       2.0048
     90.2000       1.8690
     90.4000       1.8106
     90.6000       1.8312
     90.8000       1.7565
     91.0000       1.7963
     91.2000       1.7931
     91.4000       1.6581
     91.6000       1.6609
     91.8000       1.7989
     92.0000       1.7891
     92.2000       1.7177
     92.4000       1.8043
     92.6000       1.8865
     92.8000       1.8387
     93.0000       1.8148
     93.2000       1.9057
     93.4000       1.8495
     93.6000       1.8230
     93.8000       1.8192
     94.0000       1.7192
     94.2000       1.8047
     94.4000       1.6564
