#Frame         RMSD_00001
      0.2000       0.0000
      0.4000       0.7826
      0.6000       0.8199
      0.8000       0.7817
      1.0000       0.7762
      1.2000       0.7911
      1.4000       0.8951
      1.6000       0.9082
      1.8000       0.9144
      2.0000       0.9333
      2.2000       0.9534
      2.4000       0.9593
      2.6000       0.9349
      2.8000       0.8065
      3.0000       0.8568
      3.2000       0.8896
      3.4000       0.9165
      3.6000       0.8481
      3.8000       0.9284
      4.0000       0.9716
      4.2000       0.9818
      4.4000       0.8811
      4.6000       0.9064
      4.8000       0.9704
      5.0000       0.9400
      5.2000       1.0491
      5.4000       1.0550
      5.6000       1.0304
      5.8000       0.8965
      6.0000       0.9599
      6.2000       1.0256
      6.4000       1.0233
      6.6000       0.9596
      6.8000       0.9809
      7.0000       1.0403
      7.2000       0.9886
      7.4000       1.1182
      7.6000       1.1525
      7.8000       0.9940
      8.0000       0.9950
      8.2000       1.0045
      8.4000       0.9774
      8.6000       1.1066
      8.8000       0.9836
      9.0000       1.0519
      9.2000       1.0106
      9.4000       1.1319
      9.6000       1.1510
      9.8000       1.0933
     10.0000       1.0348
     10.2000       1.0943
     10.4000       1.1887
     10.6000       1.2922
     10.8000       1.2791
     11.0000       1.3003
     11.2000       1.2556
     11.4000       1.2168
     11.6000       1.1051
     11.8000       1.2727
     12.0000       1.3307
     12.2000       1.2846
     12.4000       1.3121
     12.6000       1.3905
     12.8000       1.2803
     13.0000       1.4189
     13.2000       1.3185
     13.4000       1.3514
     13.6000       1.3391
     13.8000       1.2623
     14.0000       1.3076
     14.2000       1.3467
     14.4000       1.4008
     14.6000       1.3148
     14.8000       1.3132
     15.0000       1.3230
     15.2000       1.3212
     15.4000       1.3484
     15.6000       1.3482
     15.8000       1.3560
     16.0000       1.3336
     16.2000       1.3430
     16.4000       1.3425
     16.6000       1.3255
     16.8000       1.1960
     17.0000       1.2509
     17.2000       1.3443
     17.4000       1.3452
     17.6000       1.3198
     17.8000       1.3499
     18.0000       1.2463
     18.2000       1.2099
     18.4000       1.2282
     18.6000       1.2447
     18.8000       1.1604
     19.0000       1.2456
     19.2000       1.2503
     19.4000       1.2874
     19.6000       1.3263
     19.8000       1.3599
     20.0000       1.4252
     20.2000       1.4581
     20.4000       1.4202
     20.6000       1.4365
     20.8000       1.4103
     21.0000       1.2598
     21.2000       1.3955
     21.4000       1.3472
     21.6000       1.4314
     21.8000       1.4429
     22.0000       1.3869
     22.2000       1.4793
     22.4000       1.3868
     22.6000       1.2877
     22.8000       1.3711
     23.0000       1.3883
     23.2000       1.4966
     23.4000       1.2951
     23.6000       1.3536
     23.8000       1.2465
     24.0000       1.3390
     24.2000       1.3166
     24.4000       1.4805
     24.6000       1.3545
     24.8000       1.3600
     25.0000       1.2507
     25.2000       1.3031
     25.4000       1.2530
     25.6000       1.1361
     25.8000       1.2531
     26.0000       1.2340
     26.2000       1.4139
     26.4000       1.3577
     26.6000       1.2157
     26.8000       1.1987
     27.0000       1.2547
     27.2000       1.1156
     27.4000       1.1804
     27.6000       1.2122
     27.8000       1.2588
     28.0000       1.3348
     28.2000       1.3091
     28.4000       1.2001
     28.6000       1.2598
     28.8000       1.3317
     29.0000       1.2722
     29.2000       1.1683
     29.4000       1.2355
     29.6000       1.1991
     29.8000       1.2637
     30.0000       1.3115
     30.2000       1.2709
     30.4000       1.3331
     30.6000       1.4311
     30.8000       1.3635
     31.0000       1.3331
     31.2000       1.3969
     31.4000       1.3853
     31.6000       1.3804
     31.8000       1.2708
     32.0000       1.3791
     32.2000       1.4005
     32.4000       1.4068
     32.6000       1.4736
     32.8000       1.4637
     33.0000       1.3638
     33.2000       1.3266
     33.4000       1.3745
     33.6000       1.3720
     33.8000       1.3574
     34.0000       1.5225
     34.2000       1.4429
     34.4000       1.4874
     34.6000       1.4216
     34.8000       1.3812
     35.0000       1.3721
     35.2000       1.4500
     35.4000       1.4093
     35.6000       1.5618
     35.8000       1.4106
     36.0000       1.3767
     36.2000       1.4519
     36.4000       1.3274
     36.6000       1.4525
     36.8000       1.2636
     37.0000       1.2180
     37.2000       1.1889
     37.4000       1.1976
     37.6000       1.2774
     37.8000       1.2833
     38.0000       1.2531
     38.2000       1.3537
     38.4000       1.4338
     38.6000       1.2953
     38.8000       1.3545
     39.0000       1.4467
     39.2000       1.4942
     39.4000       1.4597
     39.6000       1.4017
     39.8000       1.2887
     40.0000       1.4489
     40.2000       1.3402
     40.4000       1.3020
     40.6000       1.3093
     40.8000       1.4444
     41.0000       1.4933
     41.2000       1.5141
     41.4000       1.4932
     41.6000       1.5270
     41.8000       1.5957
     42.0000       1.7302
     42.2000       1.6657
     42.4000       1.5086
     42.6000       1.5149
     42.8000       1.5424
     43.0000       1.3961
     43.2000       1.5235
     43.4000       1.5204
     43.6000       1.6306
     43.8000       1.6223
     44.0000       1.6027
     44.2000       1.5600
     44.4000       1.7417
     44.6000       1.7467
     44.8000       1.7889
     45.0000       1.6995
     45.2000       1.6994
     45.4000       1.7113
     45.6000       1.6858
     45.8000       1.6823
     46.0000       1.6794
     46.2000       1.4752
     46.4000       1.5425
     46.6000       1.5621
     46.8000       1.6054
     47.0000       1.6696
     47.2000       1.6458
     47.4000       1.5963
     47.6000       1.5899
     47.8000       1.5572
     48.0000       1.5528
     48.2000       1.5516
     48.4000       1.5491
     48.6000       1.4827
     48.8000       1.6249
     49.0000       1.5967
     49.2000       1.5490
     49.4000       1.3871
     49.6000       1.6489
     49.8000       1.6459
     50.0000       1.6049
     50.2000       1.5578
     50.4000       1.5756
     50.6000       1.5372
     50.8000       1.5404
     51.0000       1.5124
     51.2000       1.5298
     51.4000       1.5947
     51.6000       1.6593
     51.8000       1.5091
     52.0000       1.4039
     52.2000       1.4401
     52.4000       1.3584
     52.6000       1.4707
     52.8000       1.5288
     53.0000       1.5676
     53.2000       1.5809
     53.4000       1.4156
     53.6000       1.2963
     53.8000       1.3678
     54.0000       1.4823
     54.2000       1.4477
     54.4000       1.3574
     54.6000       1.4766
     54.8000       1.4979
     55.0000       1.5422
     55.2000       1.6036
     55.4000       1.5668
     55.6000       1.5414
     55.8000       1.5118
     56.0000       1.4464
     56.2000       1.3522
     56.4000       1.3470
     56.6000       1.3030
     56.8000       1.3834
     57.0000       1.3542
     57.2000       1.4265
     57.4000       1.4573
     57.6000       1.5750
     57.8000       1.5824
     58.0000       1.4958
     58.2000       1.7031
     58.4000       1.4517
